,Type,NATO designation,Pennant No.,Name (English),Name (Han 汉),Commissioned,Displacement[a],Fleet,Status,Displacement,Name (Han 中文),VLS Cells,Classification
0,Type 094 / 094A submarine,Jin class,411,Long March 11,长征 11,2007,"11,000 t",South Sea Fleet,Active,,,,
1,Type 094 / 094A submarine,Jin class,413,Long March 13,长征 13,2009,"11,000 t",South Sea Fleet,Active,,,,
2,Type 094 / 094A submarine,Jin class,412,Long March 12,长征 12,2011,"11,000 t",South Sea Fleet,Active,,,,
3,Type 094 / 094A submarine,Jin class,414,Long March 14,长征 14,2012,"11,000 t",South Sea Fleet,Active,,,,
4,Type 094 / 094A submarine,Jin class,420,Long March 20,长征 20,2019,"11,000 t",South Sea Fleet,Active,,,,
5,Type 094 / 094A submarine,Jin class,421,Long March 21,长征 21,2021,"11,000 t",South Sea Fleet,Active,,,,
6,Type 032 submarine,Qing class,Yuan-Zheng 201,Expedition 201,远征 201,2012,"6,630 t",North Sea Fleet,Active,,,,
7,Type 093 submarine,Shang class,407,Long March 7,长征7,2006,"6,100 t",North Sea Fleet,Active,,,,
8,Type 093 submarine,Shang class,408,Long March 8,长征 8,2007,"6,100 t",North Sea Fleet,Active,,,,
9,Type 093A submarine,Shang class,409,Long March 9,长征 9,2012,"6,100 t",South Sea Fleet,Active,,,,
10,Type 093A submarine,Shang class,410,Long March 10,长征 10,2015,"6,100 t",South Sea Fleet,Active,,,,
11,Type 093A submarine,Shang class,418,Long March 18,长征 18,2017,"6,100 t",North Sea Fleet,Active,,,,
12,Type 093A submarine,Shang class,419,Long March 19,长征 19,2017,"6,100 t",North Sea Fleet,Active,,,,
13,Type 091 submarine,Han class,403,Long March 3,长征 3,1984,"5,550 t",North Sea Fleet,Active,,,,
14,Type 091 submarine,Han class,404,Long March 4,长征 4,1987,"5,550 t",North Sea Fleet,Active,,,,
15,Type 091 submarine,Han class,405,Long March 5,长征 5,1990,"5,550 t",North Sea Fleet,Active,,,,
16,Type 039A submarine,Yuan class,Chang-Cheng 330,Great Wall 330,长城 330,2005,"3,600 t",,Active,,,,
17,Type 039A submarine,Yuan class,Chang-Cheng 331,Great Wall 331,长城 331,2009,"3,600 t",,Active,,,,
18,Type 039A submarine,Yuan class,Chang-Cheng 332,Great Wall 332,长城 332,2009,"3,600 t",,Active,,,,
19,Type 039A submarine,Yuan class,Chang-Cheng 333,Great Wall 333,长城 333,2010,"3,600 t",,Active,,,,
20,Type 039B submarine,Yuan class,Chang-Cheng 334,Great Wall 334,长城 334,2011,"3,600 t",,Active,,,,
21,Type 039B submarine,Yuan class,Chang-Cheng 335,Great Wall 335,长城 335,2011,"3,600 t",,Active,,,,
22,Type 039B submarine,Yuan class,Chang-Cheng 336,Great Wall 336,长城 336,2012,"3,600 t",,Active,,,,
23,Type 039B submarine,Yuan class,Chang-Cheng 337,Great Wall 337,长城 337,2012,"3,600 t",,Active,,,,
24,Type 039B submarine,Yuan class,Chang-Cheng 338,Great Wall 338,长城 338,2012,"3,600 t",,Active,,,,
25,Type 039B submarine,Yuan class,Chang-Cheng 339,Great Wall 339,长城 339,2012,"3,600 t",,Active,,,,
26,Type 039B submarine,Yuan class,Chang-Cheng 340,Great Wall 340,长城 340,2012,"3,600 t",,Active,,,,
27,Type 039B submarine,Yuan class,Chang-Cheng 341,Great Wall 341,长城 341,2012,"3,600 t",,Active,,,,
28,Type 039B submarine,Yuan class,Chang-Cheng 342,Great Wall 342,长城 342,2015,"3,600 t",,Active,,,,
29,Type 039B submarine,Yuan class,Chang-Cheng 343,Great Wall 343,长城 343,2016,"3,600 t",,Active,,,,
30,Type 039B submarine,Yuan class,Chang-Cheng 344,Great Wall 344,长城 344,2017,"3,600 t",,Active,,,,
31,Type 039B submarine,Yuan class,Chang-Cheng 345,Great Wall 345,长城 345,2019-,"3,600 t",,Active,,,,
32,Type 039B submarine,Yuan class,Chang-Cheng 346,Great Wall 346,长城 346,2019-,"3,600 t",,Active,,,,
33,Type 039C submarine,Yuan class,Chang-Cheng ?,Great Wall ?,长城 ?,2022,"3,600 t",,Active,,,,
34,Type 039C submarine,Yuan class,Chang-Cheng ?,Great Wall ?,长城 ?,2023?,"3,600 t",,Fitting out,,,,
35,Type 039C submarine,Yuan class,Chang-Cheng ?,Great Wall ?,长城 ?,2023?,"3,600 t",,Fitting out,,,,
36,Type 039 submarine,Song class,Chang-Cheng 320,Great Wall 320,长城 320,1999,"2,250 t",North Sea Fleet,Active,,,,
37,Type 039G submarine,Song class,Chang-Cheng 321,Great Wall 321,长城 321,2001,"2,250 t",North Sea Fleet,Active,,,,
38,Type 039G submarine,Song class,Chang-Cheng 322,Great Wall 322,长城 322,2001,"2,250 t",North Sea Fleet,Active,,,,
39,Type 039G submarine,Song class,Chang-Cheng 323,Great Wall 323,长城 323,2003,"2,250 t",North Sea Fleet,Active,,,,
40,Type 039G submarine,Song class,Chang-Cheng 324,Great Wall 324,长城 324,2003,"2,250 t",East Sea Fleet,Active,,,,
41,Type 039G submarine,Song class,Chang-Cheng 325,Great Wall 325,长城 325,2004,"2,250 t",East Sea Fleet,Active,,,,
42,Type 039G1 submarine,Song class,Chang-Cheng 314,Great Wall 314,长城 314,2003,"2,250 t",East Sea Fleet,Active,,,,
43,Type 039G1 submarine,Song class,Chang-Cheng 315,Great Wall 315,长城 315,2003,"2,250 t",North Sea Fleet,Active,,,,
44,Type 039G1 submarine,Song class,Chang-Cheng 316,Great Wall 316,长城 316,2005,"2,250 t",North Sea Fleet,Active,,,,
45,Type 039G1 submarine,Song class,Chang-Cheng 326,Great Wall 326,长城 326,2006,"2,250 t",South Sea Fleet,Active,,,,
46,Type 039G1 submarine,Song class,Chang-Cheng 327,Great Wall 327,长城 327,2006,"2,250 t",North Sea Fleet,Active,,,,
47,Type 039G1 submarine,Song class,Chang-Cheng 328,Great Wall 328,长城 328,2006,"2,250 t",North Sea Fleet,Active,,,,
48,Type 039G1 submarine,Song class,Chang-Cheng 329,Great Wall 329,长城 329,2006,"2,250 t",South Sea Fleet,Active,,,,
49,Type 035A submarine,Ming class,Chang-Cheng 358,Great Wall 358,长城 358,1993,"2,113 t",North Sea Fleet,In reserve,,,,
50,Type 035A submarine,Ming class,Chang-Cheng 359,Great Wall 359,长城 359,1994,"2,113 t",North Sea Fleet,In reserve,,,,
51,Type 035A submarine,Ming class,Chang-Cheng 360,Great Wall 360,长城 360,1995,"2,113 t",North Sea Fleet,In reserve,,,,
52,Type 035A submarine,Ming class,Chang-Cheng 362,Great Wall 362,长城 362,1996,"2,113 t",North Sea Fleet,In reserve,,,,
53,Type 035A submarine,Ming class,Chang-Cheng 363,Great Wall 363,长城 363,1996,"2,113 t",North Sea Fleet,In reserve,,,,
54,Type 035A submarine,Ming class,Chang-Cheng 305,Great Wall 305,长城 305,1998,"2,113 t",South Sea Fleet,In reserve,,,,
55,Type 035A submarine,Ming class,Chang-Cheng 306,Great Wall 306,长城 306,1998,"2,113 t",South Sea Fleet,In reserve,,,,
56,Type 035A submarine,Ming class,Chang-Cheng 307,Great Wall 307,长城 307,1999,"2,113 t",South Sea Fleet,In reserve,,,,
57,Type 035A submarine,Ming class,Chang-Cheng 308,Great Wall 308,长城 308,1999,"2,113 t",South Sea Fleet,In reserve,,,,
58,Type 035A submarine,Ming class,Chang-Cheng 309,Great Wall 309,长城 309,2000,"2,113 t",South Sea Fleet,In reserve,,,,
59,Type 035B submarine,Ming class,Chang-Cheng 310,Great Wall 310,长城 310,2001,"2,113 t",South Sea Fleet,Active,,,,
60,Type 035B submarine,Ming class,Chang-Cheng 311,Great Wall 311,长城 311,2002,"2,113 t",South Sea Fleet,Active,,,,
61,Type 035B submarine,Ming class,Chang-Cheng 312,Great Wall 312,长城 312,2003,"2,113 t",South Sea Fleet,Active,,,,
62,Type 035B submarine,Ming class,Chang-Cheng 313,Great Wall 313,长城 313,2004,"2,113 t",South Sea Fleet,Active,,,,
63,Project 636M,Improved Kilo class,Chang-Cheng 366,Great Wall 366,长城 366,1997,"3,100 t",East Sea Fleet,Active,,,,
64,Project 636M,Improved Kilo class,Chang-Cheng 367,Great Wall 367,长城 367,1998,"3,100 t",East Sea Fleet,Active,,,,
65,Project 636M,Improved Kilo class,Chang-Cheng 368,Great Wall 368,长城 368,2004,"3,100 t",East Sea Fleet,Active,,,,
66,Project 636M,Improved Kilo class,Chang-Cheng 369,Great Wall 369,长城 369,2004,"3,100 t",East Sea Fleet,Active,,,,
67,Project 636M,Improved Kilo class,Chang-Cheng 370,Great Wall 370,长城 370,2005,"3,100 t",East Sea Fleet,Active,,,,
68,Project 636M,Improved Kilo class,Chang-Cheng 371,Great Wall 371,长城 371,2005,"3,100 t",East Sea Fleet,Active,,,,
69,Project 636M,Improved Kilo class,Chang-Cheng 372,Great Wall 372,长城 372,2005,"3,100 t",South Sea Fleet,Active,,,,
70,Project 636M,Improved Kilo class,Chang-Cheng 373,Great Wall 373,长城 373,2004,"3,100 t",South Sea Fleet,Active,,,,
71,Project 636M,Improved Kilo class,Chang-Cheng 374,Great Wall 374,长城 374,2005,"3,100 t",South Sea Fleet,Active,,,,
72,Project 636M,Improved Kilo class,Chang-Cheng 375,Great Wall 375,长城 375,2005,"3,100 t",South Sea Fleet,Active,,,,
73,Type 001 aircraft carrier,Kuznetsov class,16,Liaoning,辽宁,2012,,North Sea Fleet,Active,"60,900 t[3]",,,
74,Type 002 aircraft carrier,Modified Kuznetsov class,17,Shandong,山东,2019,,South Sea Fleet,Active,"60,000-70,000 t[4]",,,
75,Type 003 aircraft carrier,Fujian class[5],18,Fujian,福建,-,,,Sea Trials,"80,000+ t[6]",,,
76,Type 055 destroyer,Renhai class,101.0,Nanchang,,2020,,North Sea Fleet,Active,"13,000+ t",南昌,112.0,
77,Type 055 destroyer,Renhai class,102.0,Lhasa,,2021,,North Sea Fleet,Active,"13,000+ t",拉萨,112.0,
78,Type 055 destroyer,Renhai class,103.0,Anshan,,2021,,North Sea Fleet,Active,"13,000+ t",鞍山,112.0,
79,Type 055 destroyer,Renhai class,104.0,Wuxi,,2022,,North Sea Fleet,Active,"13,000+ t",无锡,112.0,
80,Type 055 destroyer,Renhai class,105.0,Dalian,,2021,,South Sea Fleet,Active,"13,000+ t",大连,112.0,
81,Type 055 destroyer,Renhai class,106.0,Yan'an,,2022,,South Sea Fleet,Active,"13,000+ t",延安,112.0,
82,Type 055 destroyer,Renhai class,107.0,Zunyi,,2022,,South Sea Fleet,Active,"13,000+ t",遵义,112.0,
83,Type 055 destroyer,Renhai class,108.0,Xianyang,,2023,,South Sea Fleet,Active,"13,000+ t",咸阳,112.0,
84,Type 052D destroyer,Luyang III class,172.0,Kunming,,2014,,South Sea Fleet,Active,"7,500 t",昆明,64.0,
85,Type 052D destroyer,Luyang III class,173.0,Changsha,,2015,,South Sea Fleet,Active,"7,500 t",长沙,64.0,
86,Type 052D destroyer,Luyang III class,174.0,Hefei,,2015,,South Sea Fleet,Active,"7,500 t",合肥,64.0,
87,Type 052D destroyer,Luyang III class,175.0,Yinchuan,,2016,,South Sea Fleet,Active,"7,500 t",银川,64.0,
88,Type 052D destroyer,Luyang III class,117.0,Xining,,2017,,North Sea Fleet,Active,"7,500 t",西宁,64.0,
89,Type 052D destroyer,Luyang III class,154.0,Xiamen,,2017,,East Sea Fleet,Active,"7,500 t",厦门,64.0,
90,Type 052D destroyer,Luyang III class,118.0,Urumqi,,2018,,North Sea Fleet,Active,"7,500 t",乌鲁木齐,64.0,
91,Type 052D destroyer,Luyang III class,119.0,Guiyang,,2019,,North Sea Fleet,Active,"7,500 t",贵阳,64.0,
92,Type 052D destroyer,Luyang III class,155.0,Nanjing,,2018,,East Sea Fleet,Active,"7,500 t",南京,64.0,
93,Type 052D destroyer,Luyang III class,131.0,Taiyuan,,2018,,East Sea Fleet,Active,"7,500 t",太原,64.0,
94,Type 052D destroyer,Luyang III class,161.0,Hohhot,,2019,,South Sea Fleet,Active,"7,500 t",呼和浩特,64.0,
95,Type 052D destroyer,Luyang III class,120.0,Chengdu,,2019,,North Sea Fleet,Active,"7,500 t",成都,64.0,
96,Type 052D destroyer,Luyang III class,121.0,Qiqihar,,2020,,North Sea Fleet,Active,"7,500 t",齐齐哈尔,64.0,
97,Type 052D destroyer,Luyang III class,156.0,Zibo,,2020,,East Sea Fleet,Active,"7,500 t",淄博,64.0,
98,Type 052D destroyer,Luyang III class,122.0,Tangshan,,2020,,North Sea Fleet,Active,"7,500 t",唐山,64.0,
99,Type 052D destroyer,Luyang III class,132.0,Suzhou,,2021,,East Sea Fleet,Active,"7,500 t",苏州,64.0,
